id,Title,Year,Runtime,Rating,Language,Country
3076,The Mumbo Jumbo,2000,82 min,4.6,English,"UK, Germany"
3077,Murder at the Cannes Film Festival,2000,100 min,5.0,English,"Canada, USA"
3078,Nachttanke,2000,88 min,8.0,German,Germany
3079,The Next Big Thing,2001,87 min,6.0,English,USA
3080,Niagara Falls,2000,,,English,Canada
3081,El niño,2000,98 min,5.5,Hungarian,Hungary
3082,Off Key,2001,118 min,5.3,"English, Spanish","Spain, Italy, UK"
3083,On Hallowed Ground: Streetball Champions of Rucker Park,2000,90 min,7.4,English,USA
3084,On fait comme on a dit,2000,80 min,5.2,French,France
3085,The Only Living Boy in New York,2000,,5.5,English,USA
3086,Outside Out,2000,,6.6,English,USA
3087,P.S. Your Cat Is Dead!,2002,92 min,5.4,English,USA
3088,Pasty Faces,2000,85 min,5.4,English,UK
3089,The Pearl,2001,115 min,4.2,English,"Mexico, USA"
3090,Perfume,2001,106 min,3.6,English,USA
3091,Quints,2000,83 min,5.7,English,"Canada, USA"
3092,The Real World Reunion 2000,2000,,5.4,English,USA
3093,Ristningar,2000,,,Swedish,Sweden
3094,Crush,2001,108 min,5.9,"English, French","UK, Germany"
3095,Selkie,2000,88 min,6.3,English,Australia
3096,Spirited Away,2001,125 min,8.6,Japanese,Japan
3097,Prank,2000,90 min,6.5,,
3098,Solitude,2000,,,,
3099,Just a Kiss,2002,89 min,5.0,English,USA
3100,The Land of the Wandering Souls,2000,100 min,7.7,Khmer,France
3101,Things Behind the Sun,2001,120 min,7.2,English,USA
3102,Too Much Magic,2000,,6.0,English,USA
3103,Cruel Game,2002,84 min,4.0,English,USA
3104,A Crime in Paradise,2001,89 min,6.5,French,France
3105,Varian's War: The Forgotten Hero,2001,121 min,6.4,"English, French, German, Italian","UK, USA, Canada"
3106,Villa-Lobos: A Life of Passion,2000,132 min,6.6,Portuguese,Brazil
3107,Windtalkers,2002,134 min,6.1,"English, Navajo, Japanese",USA
3108,X-Philes,2000,,8.6,English,USA
3109,XX/XY,2002,91 min,5.9,English,USA
3110,Y Tu Mamá También,2001,106 min,7.6,Spanish,Mexico
3111,When I Fall in Love... with Both,2000,115 min,7.6,"Cantonese, Mandarin","Hong Kong, Singapore"
3112,Zehn wahnsinnige Tage,2000,88 min,7.2,German,Germany
3113,Jack the Dog,2001,85 min,4.7,English,USA
3114,Thir13en Ghosts,2001,91 min,5.6,English,"USA, Canada"
3115,9-Ball,2000,,,English,USA
3116,Joe Dirt,2001,91 min,6.0,English,USA
3117,Amores Perros,2000,154 min,8.1,Spanish,Mexico
3118,Big Wind on Campus,2000,89 min,3.3,English,USA
3119,L'attrape-rêves,2000,75 min,7.0,French,France
3120,Abschied in den Tod,2001,90 min,4.8,"German, English","Germany, Australia"
3121,Behind the Seams,2000,92 min,3.5,English,USA
3122,Chained Heat 2001: Slave Lovers,2001,93 min,5.0,English,Canada
3123,Burning Man: The Burning Sensation,2002,75 min,5.8,English,USA
3124,Come on My Brother,2000,136 min,4.7,Hindi,India
3125,Chief,2000,,,,
3126,Stand-by,2000,125 min,7.2,French,France
3127,Chunhyang,2000,116 min,7.0,Korean,South Korea
3128,The Comedy of Errors,2000,,2.2,,USA
3129,The Count of Monte Cristo,2002,131 min,7.8,English,"UK, USA, Ireland, Switzerland"
3130,Devil's Prey,2001,88 min,3.4,English,USA
3131,Drift,2000,86 min,5.4,English,Canada
3132,Extremedays,2001,93 min,6.0,English,USA
3133,The Flying Dutchman,2001,89 min,4.0,English,USA
3134,Forgive Me Father,2001,138 min,5.4,English,USA
3135,Four Jacks,2001,92 min,4.9,English,Australia
3136,Från opium till krysantemum,2000,75 min,5.0,,Sweden
3137,Cheap Smokes,2000,85 min,7.4,"Greek, English",Greece
3138,Gefährliche Träume - Das Geheimnis einer Frau,2000,85 min,2.9,German,Germany
3139,Getting Away with Murder: The JonBenet Ramsey Mystery,2000,95 min,6.0,English,USA
3140,Devils on the Doorstep,2000,139 min,8.2,"Mandarin, Japanese, English, French",China
3141,Happy Birthday,2001,,4.3,English,USA
3142,Harry's Case,2000,110 min,4.9,English,Canada
3143,L'institutrice,2000,,7.2,French,"France, Canada"
3144,Killer Instinct,2001,88 min,4.1,English,USA
3145,Kingdom Come,2001,94 min,5.6,English,USA
3146,Klassikko,2001,80 min,6.9,Finnish,Finland
3147,Lift,2001,85 min,6.3,English,USA
3148,Love Lessons,2000,97 min,5.8,English,USA
3149,Love the One You're with,2000,92 min,3.5,English,UK
3150,Marion et son tuteur,2000,,,French,France
3151,Maze,2000,97 min,6.6,English,USA
3152,Metal,2001,90 min,5.6,English,USA
3153,Metropolis,2000,60 min,5.1,English,USA
3154,Miriam Teitelbaum: Homicide,2000,,8.0,English,USA
3155,Half of Heaven,2000,97 min,5.2,"French, Mandarin, English",France
3156,"Mum, Dad and Michela",2000,,,English,New Zealand
3157,Nailed,2001,90 min,4.4,English,USA
3158,The Wedding,2000,114 min,7.2,Russian,"France, Russia, Germany"
3159,Oliver Twisted,2000,90 min,5.9,English,USA
3160,Lucky Break,2001,108 min,6.1,English,"UK, Germany, USA"
3161,En el país de no pasa nada,2000,91 min,6.0,Spanish,Mexico
3162,Doors of Glory,2001,89 min,6.4,French,France
3163,The Right Girl,2001,76 min,6.4,English,USA
3164,Terminal Rite,2000,110 min,6.6,"Nahuatl, Spanish",Mexico
3165,Serenades,2001,99 min,6.6,English,Australia
3166,Alex in Wonder,2001,96 min,5.2,English,USA
3167,A Smaller World,2000,,,English,USA
3168,Solid Cover,2000,97 min,4.7,English,Canada
3169,Spolecnice,2000,78 min,8.1,Czech,Czech Republic
3170,Blackboards,2000,88 min,6.9,"Persian, Kurdish","Iran, Italy, Japan"
3171,Evagora's Vow,2001,153 min,7.1,Greek,"Cyprus, Greece, Bulgaria"
3172,"Oui, mais...",2001,104 min,6.8,French,France
3173,Warpath,2000,90 min,5.5,English,USA
3174,Slow Burn,2000,90 min,4.8,English,Canada
3175,Rocky Times,2000,,5.2,English,"Canada, USA"
3176,Den serbiske dansker,2001,150 min,7.0,Danish,"Denmark, Sweden"
3177,27 Missing Kisses,2000,98 min,6.7,"Georgian, Russian, French, English","Germany, Georgia, UK, France"
3178,False Start,2001,90 min,5.9,English,USA
3179,Achilles' Love,2000,94 min,4.8,English,USA
3180,Anak,2000,135 min,7.4,"Filipino, Tagalog",Philippines
3181,Angaray,2000,,4.5,Urdu,"Pakistan, UK"
3182,Antilles sur Seine,2000,104 min,3.7,French,France
3183,Auf Herz und Nieren,2001,95 min,5.0,"German, Italian",Germany
3184,Bad Guys,2000,,5.0,English,USA
3185,Die Another Day,2002,133 min,6.1,"English, Korean, Cantonese, Spanish, German, Icelandic, Italian, Arabic","UK, USA, Spain, Iceland"
3186,Big Trouble,2002,85 min,6.5,English,USA
3187,Café Chameleon,2000,,,Swedish,Sweden
3188,Le chemin du retour,2000,,4.7,French,"France, USA"
3189,The City of Lost Souls,2000,102 min,6.3,"English, Mandarin, Russian, Japanese, Portuguese, Cantonese",Japan
3190,Who Is Cletis Tout?,2001,92 min,6.4,English,"USA, Canada"
3191,Advertising Rules!,2001,108 min,5.8,German,Germany
3192,Custody of the Heart,2000,91 min,5.3,English,USA
3193,The Musketeer,2001,104 min,4.9,English,"Germany, Luxembourg, UK, USA"
3194,Death of a Dog,2000,86 min,5.8,English,USA
3195,Dil Main Chupa Kay Rakhna,2000,,1.4,Urdu,Pakistan
3196,Donnie Darko,2001,113 min,8.0,English,USA
3197,Dragon in Hervanta,2001,,,,
3198,The Dummy,2002,91 min,6.7,"English, Yiddish",USA
3199,Big Animal,2000,73 min,7.1,Polish,Poland
3200,Enthüllung einer Ehe,2000,90 min,7.1,German,Germany
3201,Angel Exit,2000,100 min,5.6,Czech,Czech Republic
3202,Faces of Gore 2,2000,90 min,4.6,English,USA
3203,Fate un bel sorriso,2000,93 min,4.5,Italian,"Italy, France, Greece"
3204,Feindliche Schwestern - Wenn aus Liebe Hass wird,2000,92 min,2.0,German,Germany
3205,Focus,2001,106 min,6.7,English,USA
3206,Giorni dispari,2000,87 min,7.1,,Italy
3207,A Goddamn Job,2001,83 min,4.9,German,Germany
3208,Heaven,2002,97 min,7.0,"Italian, English","UK, France, Italy, Germany, USA"
3209,Hopeless,2000,80 min,6.0,English,New Zealand
3210,Old Men in New Cars: In China They Eat Dogs II,2002,95 min,6.8,"Danish, Swedish, Serbian",Denmark
3211,Im Club der Millionäre,2000,90 min,4.9,German,Germany
3212,"Island of Shadows: D'Arcy Island Leper Colony, 1891-1924",2000,48 min,7.8,,Canada
3213,Jacky,2000,80 min,5.7,Dutch,Netherlands
3214,Accidental Saint,2002,86 min,5.1,French,France
3215,Julie Walking Home,2002,118 min,6.6,"English, Russian, Polish","Germany, Canada, Poland, USA"
3216,Desperado Square,2001,98 min,6.8,"English, Hebrew",Israel
3217,The Milk of Human Kindness,2001,94 min,6.2,French,"France, Belgium"
3218,The Last Dance,2000,105 min,7.0,English,USA
3219,The Last Musketeer,2000,120 min,6.4,English,UK
3220,Lumumba,2000,115 min,7.2,"French, Lingala, English","France, Belgium, Germany, Haiti"
3221,Winds of Passion,2000,90 min,6.0,Italian,Italy
3222,Mostly Martha,2001,109 min,7.2,"German, Italian","Germany, Italy, Austria, Switzerland"
3223,The Mechanism,2000,94 min,6.0,Serbian,Federal Republic of Yugoslavia
3224,Meine grüne Freiheit - Ein Frühling in Irland,2000,182 min,4.8,German,Germany
3225,Monos con navaja,2000,,5.0,Spanish,"Argentina, Chile"
3226,The Moving of Sophia Myles,2000,96 min,5.0,English,"Canada, USA"
3227,Murder Seen,2000,90 min,4.3,English,Canada
3228,Nelly's Bodega,2000,50 min,,English,USA
3229,Nice Girl,2000,75 min,6.9,English,UK
3230,Ordeals of Love on the Great Lakes,2000,,,,Canada
3231,The Other Me,2000,90 min,6.1,English,USA
3232,La part de l'ombre,2000,,5.8,,France
3233,Never Mind the Wall,2001,94 min,6.8,German,Germany
3234,Policewoman,2000,98 min,7.4,German,Germany
3235,Le prince du Pacifique,2000,90 min,4.7,"French, Polynesian","Spain, France"
3236,Purely Belter,2000,99 min,6.7,English,UK
3237,King Rikki,2002,91 min,4.8,English,USA
3238,Rollerball,2002,98 min,3.1,"English, Russian, French, Arabic, Korean, German, Japanese","USA, Germany, Japan"
3239,The Season of Men,2000,122 min,6.6,"French, Arabic","Tunisia, France"
3240,Saison dirimante,2000,,,,Canada
3241,Something to Sing About,2000,,7.1,English,USA
3242,The Stretch,2000,176 min,8.1,English,UK
3243,Sweet Revenge,2001,92 min,4.1,"French, English","USA, Canada"
3244,Les Terriens,2000,84 min,7.3,French,France
3245,Thema Nr. 1,2001,84 min,4.6,German,Germany
3246,Tomcats,2001,95 min,5.4,English,USA
3247,Unauthorized: Brady Bunch - The Final Days,2000,60 min,5.2,English,USA
3248,Verlorene Kinder,2000,90 min,5.9,German,Germany
3249,"Wild Blue, Notes for Several Voices",2000,68 min,6.5,"French, English, Persian, German",Belgium
3250,Hidden Whisper,2000,96 min,6.7,Mandarin,Taiwan
3251,The Meeksville Ghost,2001,95 min,5.1,English,USA
3252,L'affaire Marcorelle,2000,96 min,6.6,French,France
3253,Always Greener,2001,,5.9,English,USA
3254,Before Night Falls,2000,133 min,7.2,"English, Spanish, Russian, French","USA, Mexico"
3255,The Believer,2001,98 min,7.2,"English, Hebrew",USA
3256,Die blauen und die grauen Tage,2000,90 min,7.0,German,Germany
3257,Borrón y cuenta nueva,2000,,6.0,Spanish,Venezuela
3258,By Dawn's Early Light,2000,100 min,6.7,English,USA
3259,Cienfuegos 835,2000,,,,
3260,The Code Conspiracy,2002,97 min,5.7,English,USA
3261,Divided We Stand,2000,90 min,8.0,,USA
3262,The Shaft,2001,111 min,4.5,English,"USA, Netherlands"
3263,Elvis Is Alive,2001,,4.8,English,USA
3264,Entertainment Life,2000,,,,Canada
3265,German Hollywood Dreams,2000,120 min,3.4,,Germany
3266,The Gleaners & I,2000,82 min,7.7,French,France
3267,Green Diggity Dog,2001,97 min,6.9,English,USA
3268,I Saw You,2000,54 min,7.6,English,UK
3269,Ignition,2001,99 min,5.1,English,"Canada, UK"
3270,In the Bedroom,2001,131 min,7.4,"English, Serbo-Croatian",USA
3271,In the Shadows,2001,105 min,5.0,English,USA
3272,El irrigador,2000,,,,
3273,Juwanna Mann,2002,91 min,4.6,English,USA
3274,The Medicine Show,2001,102 min,6.6,English,USA
3275,'73 Model,2001,75 min,5.9,Spanish,Argentina
3276,Mujhe Chand Chahiye,2000,,6.3,Urdu,Pakistan
3277,Oscar's Magic Adventure,2000,109 min,4.9,Spanish,"Venezuela, Spain, Colombia"
3278,Late Night Talks with Mother,2001,69 min,6.1,Czech,Czech Republic
3279,New World Order: Somewhere in Africa,2001,90 min,7.3,French,France
3280,Nine Queens,2000,114 min,7.9,Spanish,Argentina
3281,The Princess Diaries,2001,111 min,6.3,"English, Dutch, Italian","USA, UK"
3282,The Quickie,2001,99 min,5.8,"English, Russian, Spanish","UK, France, Germany"
3283,Rebels,2001,109 min,6.7,Czech,Czech Republic
3284,Blonde Bride,2000,87 min,6.1,"Azerbaijani, Russian, Armenian",Azerbaijan
3285,Split Intent,2000,,4.8,,
3286,Super Troopers,2001,100 min,7.1,"English, German, French",USA
3287,"Two Days, Nine Lives",2001,94 min,5.1,English,UK
3288,Caracas Onto Death,2000,91 min,7.0,Spanish,Venezuela
3289,The Vineyard,2000,87 min,6.6,Spanish,"Uruguay, Chile"
3290,Women in Film,2001,89 min,4.4,English,USA
3291,El zoo d'en Pitus,2000,90 min,5.2,Catalan,Spain
3292,Zwei Dickköpfe mit Format,2000,90 min,2.8,German,Germany
3293,"Jackie, Ethel, Joan: The Women of Camelot",2001,163 min,7.1,English,USA
3294,A Night with Sabrina Love,2000,100 min,6.0,Spanish,"Spain, Italy, France, Argentina, Netherlands"
3295,20.13 - Mord im Blitzlicht,2000,90 min,5.3,"German, English","Germany, France, Canada"
3296,76-89-03,2000,85 min,7.1,Spanish,Argentina
3297,A Tale of Two Cities,2000,90 min,,German,Germany
3298,Aap Mujhe Achche Lagne Lage,2002,180 min,3.1,Hindi,India
3299,Anibal,2000,,6.9,French,France
3300,Apokalypse 99 - Anatomie eines Amokläufers,2000,90 min,4.8,"Russian, German","Russia, Germany"
3301,Badal,2000,166 min,4.9,Hindi,India
3302,Badri,2000,158 min,7.2,Telugu,India
3303,Der Bebuquin - Rendezvous mit Carl Einstein,2000,80 min,,German,Germany
3304,El beso que me diste,2000,91 min,4.8,Spanish,Puerto Rico
3305,Modern Comforts,2000,95 min,5.6,French,France
3306,I Will Take the Bride,2000,158 min,5.0,Hindi,India
3307,Beyond,2000,91 min,5.4,"Danish, Norwegian, English","Denmark, Sweden"
3308,Waiting for the Messiah,2000,97 min,6.7,"Spanish, Yiddish","Spain, Italy, Argentina"
3309,Far Away Country Pa-Isch,2000,93 min,3.5,German,Germany
3310,Fiza,2000,170 min,6.1,"Hindi, Urdu",India
3311,Forbidden City,2001,,8.3,English,USA
3312,Dialogue in the Mountains,2000,59 min,,German,"Germany, Switzerland"
3313,Get Ready to Be Boyzvoiced,2000,95 min,7.3,Norwegian,Norway
3314,Gå på vatten,2000,83 min,7.0,,"Sweden, Denmark"
3315,Honolulu,2001,90 min,6.3,"German, Turkish, English",Germany
3316,Never Stop Beginning - The UFA-Star Carola Höhn,2000,50 min,,,
3317,The First Timers,2000,122 min,6.7,Japanese,Japan
3318,The State I Am In,2000,106 min,7.0,"German, Portuguese",Germany
3319,El invierno de las anjanas,2000,90 min,5.2,Spanish,Spain
3320,Joshua Slocum: Around Alone,2000,,6.7,English,"Canada, USA"
3321,Julietta,2001,100 min,6.2,German,Germany
3322,Kabhi Khushi Kabhie Gham...,2001,210 min,7.4,"Hindi, English",India
3323,Lady of Kazakhstan,2000,91 min,6.1,"Russian, German","Russia, Germany"
3324,Die Legende vom Potsdamer Platz,2001,360 min,,German,Germany
3325,Lost Killers,2000,98 min,6.3,German,Germany
3326,Magik and Rose,2001,90 min,5.6,English,New Zealand
3327,Manna from Heaven,2002,119 min,5.6,English,USA
3328,The Markus Family,2001,80 min,,German,Germany
3329,Mein absolutes Lieblingslied,2000,85 min,5.0,German,Germany
3330,Message in a Cell Phone,2000,85 min,5.2,English,USA
3331,A Million Miles an Hour,2000,,,English,USA
3332,Mission Kashmir,2000,154 min,6.7,"Hindi, Urdu, English",India
3333,No Such Thing,2001,102 min,6.1,"English, Icelandic","USA, Iceland"
3334,Das sündige Mädchen,2001,182 min,5.5,German,Germany
3335,Na Tum Jaano Na Hum,2002,158 min,5.0,Hindi,India
3336,Nightwalk,2000,128 min,,German,Germany
3337,Nos jolies colonies de vacances,2000,91 min,4.9,French,France
3338,Old School,2000,88 min,3.8,French,France
3339,Real Things,2000,86 min,,English,USA
3340,Russia's Wonder Children,2000,98 min,6.3,"Russian, German",Germany
3341,Der Schuh des Manitu,2001,87 min,6.7,German,"Germany, Spain"
3342,No More School,2000,99 min,6.4,German,Germany
3343,Second Honeymoon,2001,120 min,5.3,English,"USA, New Zealand"
3344,A Sign from God,2000,80 min,6.4,,USA
3345,Song of the Sea Otter,2000,,,English,Canada
3346,El sueño del caimán,2001,102 min,7.1,Spanish,Mexico
3347,Sur quel pied danser?,2000,93 min,6.4,French,France
3348,They Drew Fire,2000,56 min,7.0,English,"Canada, USA"
3349,The Thrill,2000,90 min,4.2,German,Germany
3350,Un possible amour,2000,56 min,7.4,French,France
3351,Forget America,2000,90 min,7.2,"German, Polish",Germany
3352,Wotenick,2000,60 min,,German,Germany
3353,Yaadein...,2001,171 min,4.4,Hindi,India
3354,Zoom,2000,101 min,6.5,German,Germany
3355,Zora the Vampire,2000,105 min,4.9,Italian,Italy
3356,Alaska.De,2000,89 min,6.5,German,Germany
3357,Hard Cash,2002,116 min,4.5,English,"Aruba, USA"
3358,3 A.M.,2001,92 min,5.8,"English, Serbo-Croatian, Spanish",USA
3359,Ali,2001,157 min,6.8,"English, French, Swahili",USA
3360,Blackmailing Santa,2002,,8.7,English,USA
3361,Cestující bez zavazadel,2000,,,Czech,Czech Republic
3362,Crash Point Zero,2001,93 min,3.3,English,USA
3363,Kites Over Helsinki,2001,90 min,6.1,Swedish,"Finland, Sweden"
3364,First Target,2000,100 min,5.0,English,"Canada, USA"
3365,Hedwig and the Angry Inch,2001,95 min,7.7,"English, German",USA
3366,Into the Arms of Strangers: Stories of the Kindertransport,2000,122 min,7.7,"English, German","UK, USA"
3367,Fuck It,2000,90 min,7.1,Slovenian,Slovenia
3368,Jerks,2000,,5.9,English,USA
3369,The River,2001,104 min,6.9,Finnish,Finland
3370,La jouissance des hystériques,2000,84 min,5.5,French,Belgium
3371,Film Noir,2000,86 min,6.0,Japanese,Japan
3372,Large,2001,78 min,4.2,English,UK
3373,Laughter on the 23rd Floor,2001,102 min,6.7,English,"USA, Canada"
3374,Liebe und andere Lügen,2000,88 min,7.2,German,Germany
3375,Lips to Lips,2000,97 min,6.7,"English, Malay",Malaysia
3376,The South,2000,85 min,4.8,Finnish,Finland
3377,Love & Support,2001,88 min,7.8,English,USA
3378,Ronnie,2002,84 min,5.1,English,USA
3379,Tom Thumb,2001,90 min,5.2,French,France
3380,Plan B,2001,98 min,4.4,"English, Danish","USA, Denmark"
3381,Poor Liza,2000,105 min,4.8,English,USA
3382,The Rose of the Rascal,2001,102 min,6.6,Finnish,Finland
3383,Rivals,2000,90 min,6.5,English,"USA, Canada"
3384,Rough Treatment,2000,162 min,7.2,English,UK
3385,Rollo and the Woods Sprite,2001,92 min,6.3,Finnish,Finland
3386,Separation Anxiety,2002,87 min,5.7,English,Ireland
3387,Spinning Gasing,2000,90 min,6.4,"English, Cantonese, Malay",Malaysia
3388,Spirála nenávisti,2000,84 min,,Czech,Czech Republic
3389,The Suicide Club,2000,89 min,6.0,English,USA
3390,T.T. Syndrome,2002,102 min,6.3,Serbian,Federal Republic of Yugoslavia
3391,Traître ou patriote,2000,,6.9,,Canada
3392,Umur,2002,102 min,5.7,"Finnish, Saami",Finland
3393,At the End of the World,2000,47 min,6.5,Danish,Denmark
3394,The Wedding Tackle,2000,94 min,3.7,English,UK
3395,Werckmeister Harmonies,2000,145 min,8.2,"Hungarian, Slovak","Hungary, Italy, Germany, France"
3396,Wings of Hope,2000,65 min,7.6,"English, German, Spanish","Germany, UK"
3397,Young Love,2001,80 min,4.6,Finnish,Finland
3398,"Zaïde, un petit air de vengeance",2001,100 min,5.9,French,France
3399,L'amour sur un fil,2000,95 min,,French,France
3400,Ashoka the Great,2001,176 min,6.5,Hindi,India
3401,Baise-moi,2000,77 min,4.4,French,France
3402,Bride of Fire,2000,113 min,7.0,"Persian, Arabic",Iran
3403,Building the Impossible: The Seven Wonders of the Ancient World,2000,,7.4,,UK
3404,La caracole,2000,,,,France
3405,Choti Si Dunya,2000,45 min,,,Pakistan
3406,A Chronicle of Corpses,2000,83 min,3.8,English,USA
3407,Room for Seven,2001,,7.5,English,USA
3408,Curse of the Hope Diamond,2000,,,English,USA
3409,Billy Elliot,2000,110 min,7.7,English,"UK, France"
3410,His Wife's Diary,2000,110 min,7.1,Russian,Russia
3411,Das Rätsel des blutroten Rubins,2001,95 min,4.6,German,Germany
3412,Domestic Disturbance,2001,89 min,5.6,English,USA
3413,The Donna Gamble Story,2000,51 min,,English,Canada
3414,Double Deception,2001,87 min,4.4,English,USA
3415,For All Time,2000,84 min,7.2,English,USA
3416,The Girl,2000,84 min,4.8,"English, French","USA, France"
3417,Goebbels und Geduldig,2001,90 min,6.9,German,Germany
3418,The Harem of Madame Osmane,2000,100 min,6.3,"French, English","France, Spain, Morocco"
3419,The Honour of the Crown,2000,,,,Canada
3420,Hum To Mohabbat Karega,2000,153 min,2.7,Hindi,India
3421,A Girl Thing,2001,237 min,6.2,English,USA
3422,Jack the Ripper: An On-Going Mystery,2000,49 min,6.9,English,"UK, USA"
3423,Gabriel & Me,2001,84 min,5.1,English,UK
3424,Jungle Queen,2000,,2.4,Urdu,Pakistan
3425,Kat,2001,85 min,3.6,Danish,Denmark
3426,The Last Debate,2000,90 min,5.8,English,USA
3427,The Law,2000,1 h 35 min,6.1,,
3428,Life with Dad,2000,,,,Canada
3429,The Love Machine,2000,84 min,6.3,English,USA
3430,Sri Manjunatha,2001,152 min,6.8,"Telugu, Kannada",India
3431,Manon Rheaume: The Woman Behind the Mask,2000,,,,Canada
3432,Le margouillat,2000,90 min,,French,France
3433,McCready and Daughter,2000,50 min,,English,UK
3434,"Meine Mutter, meine Rivalin",2000,1 h 30 min,1.4,,
3435,Mr. Wong,2000,,7.0,English,USA
3436,Mrugaraaju,2001,,4.3,Telugu,India
3437,La mémoire dure,2000,,,,France
3438,The Origin of Man,2000,77 min,7.4,English,USA
3439,House of Memories,2000,130 min,7.0,"Bengali, Hindi",India
3440,Pedestrian,2000,97 min,6.9,English,USA
3441,Peechan,2000,,2.9,Urdu,Pakistan
3442,Bad Seed,2000,93 min,5.5,English,USA
3443,The Price of Milk,2000,87 min,6.7,English,New Zealand
3444,Reshman,2000,,,Urdu,Pakistan
3445,Romantic Comedy 101,2002,92 min,6.1,English,Canada
3446,Unleaded,2000,88 min,5.4,"French, English",France
3447,Seven Songs from the Tundra,2000,90 min,6.4,"Nenets, Russian",Finland
3448,Seized at Sea: Situation Critical,2000,,,English,USA
3449,Sing It Your Way,2000,,,English,UK
3450,Stories About Love,2000,,,English,Singapore
3451,Tartarughe dal becco d'ascia,2000,90 min,,Italian,Italy
3452,La traviata,2000,,8.6,Italian,"France, Italy"
3453,The Trip,2002,95 min,7.1,English,USA
3454,A Head for Business,2000,92 min,6.0,"French, English",France
3455,Storytelling,2001,87 min,6.8,"English, Spanish",USA
3456,Vienna Fare,2001,,,,
3457,The Other's Life,2000,94 min,6.0,Italian,Italy
3458,A Well Story,2000,,,,Canada
3459,Under the Skin of the City,2001,92 min,7.5,Persian,Iran
3460,¿Y si Cristóbal despierta?,2000,,7.2,Spanish,Mexico
3461,American Tragedy,2000,170 min,5.4,English,USA
3462,Jackie Bouvier Kennedy Onassis,2000,95 min,6.2,English,USA
3463,97 Brooks,2002,,4.7,English,USA
3464,All Over the Guy,2001,95 min,6.4,English,USA
3465,Anthrax,2001,90 min,4.0,English,Canada
3466,Asterix & Obelix: Mission Cleopatra,2002,107 min,6.6,"French, Arabic, Cantonese, Latin, German","France, Germany"
3467,Crazy/Beautiful,2001,99 min,6.5,English,USA
3468,Bàttu,2000,105 min,5.8,French,"Senegal, France, UK"
3469,The Experiment,2001,120 min,7.7,"German, English",Germany
3470,Bohemia docta aneb Labyrint sveta a lusthauz srdce (Bozská komedie),2000,254 min,5.3,Czech,Czech Republic
3471,Bonhoeffer: Agent of Grace,2000,88 min,6.3,English,"Canada, Germany, USA"
3472,BookWars,2000,79 min,7.2,English,USA
3473,Brayton Field,2000,,,English,USA
3474,The Brothers,2001,106 min,6.4,"English, French",USA
3475,Teddy Bears' Picnic,2001,80 min,4.0,English,USA
3476,Cheats,2002,86 min,6.1,English,"Canada, USA"
3477,Corky Romano,2001,86 min,4.7,"English, Vietnamese, Spanish, Thai",USA
3478,Help!!!,2000,92 min,5.9,Cantonese,Hong Kong
3479,The Deep End,2001,101 min,6.5,English,USA
3480,Hair Under the Roses,2000,85 min,5.7,"French, English","France, Luxembourg"
3481,Double Whammy,2001,93 min,5.7,English,USA
3482,Dr. Ben,2001,,4.8,English,USA
3483,Even Steven,2002,,6.3,English,USA
3484,The Other Side of Heaven,2001,113 min,6.4,"English, Tonga",USA
3485,Trust Me,2000,100 min,5.6,German,Germany
3486,Road Rage,2000,96 min,3.4,English,"Canada, USA"
3487,Globehunters,2000,73 min,5.8,English,USA
3488,Every Heart That Loves,2000,173 min,5.2,Hindi,India
3489,Holiday Heart,2000,100 min,7.6,English,USA
3490,Man of the Crowds,2001,90 min,6.9,French,"France, Portugal"
3491,Daria in 'Is It Fall Yet?',2000,75 min,8.2,English,"USA, South Korea"
3492,Je li jasno prijatelju?,2000,97 min,6.8,"Serbo-Croatian, Croatian",Croatia
3493,Johnny Greyeyes,2000,75 min,5.6,English,Canada
3494,Joru Ka Ghulam,2000,169 min,5.1,Hindi,India
3495,Killing Me Softly,2002,100 min,5.5,English,"USA, UK"
3496,Kouravudu,2000,,5.8,Telugu,India
3497,Nico and Dani,2000,91 min,6.6,"Catalan, Spanish, English",Spain
3498,Kya Kehna,2000,155 min,5.9,Hindi,India
3499,The Queen,2000,98 min,7.0,German,"Germany, France"
3500,L.A.P.D.: To Protect and to Serve,2001,94 min,3.6,English,USA
3501,Late Night Shopping,2001,91 min,6.9,English,"UK, Germany"
3502,Learning to Surf,2000,,4.6,English,USA
3503,Legally Blonde,2001,96 min,6.3,English,USA
3504,Let's Talk,2000,,6.1,English,USA
3505,A Likeness in Stone,2000,150 min,7.4,English,UK
3506,Losing Grace,2001,,3.3,English,USA
3507,I lupi dentro,2000,180 min,8.6,Italian,Italy
3508,Manhatten Arizona,2000,,7.5,English,USA
3509,Mom's Got a Date with a Vampire,2000,85 min,5.9,English,"Canada, USA"
3510,Never Die Twice,2001,,6.3,English,USA
3511,New Alcatraz,2001,96 min,3.3,English,USA
3512,Night at the Golden Eagle,2001,87 min,5.9,English,USA
3513,"Not Afraid, Not Afraid",2001,86 min,7.0,English,UK
3514,Way Off Broadway,2001,87 min,7.0,English,USA
3515,Out of Time,2000,95 min,4.2,English,Canada
3516,Out of the Black,2001,106 min,2.5,English,USA
3517,The Little Man,2000,85 min,5.9,Persian,"France, Iran"
3518,Rat Race,2001,112 min,6.4,English,"USA, Canada"
3519,Refugee,2000,207 min,5.4,Hindi,India
3520,Der Runner,2000,95 min,5.1,German,Germany
3521,Russo,2000,,,English,USA
